Karlgren (1954)          	0.5875 	-0.0045	 0.0140 	42.15	1	0.00100
Li (1971)                	0.8013 	-0.0050	 0.0229 	35.26	1	0.00100
Wáng (1980)              	0.7513 	-0.0045	 0.0190 	39.78	1	0.00100
Zhèngzhāng (2003)        	0.7519 	-0.0049	 0.0172 	44.09	1	0.00100
Starostin (1989)         	0.8366 	-0.0056	 0.0185 	45.56	1	0.00100
Pān (2000)               	0.7358 	-0.0049	 0.0173 	42.77	1	0.00100
Baxter and Sagart (2014) 	0.8685 	-0.0052	 0.0178 	49.22	1	0.00100
Schuessler (2007)        	0.7037 	-0.0051	 0.0175 	40.50	1	0.00100
Karlgren (1954)          	0.5769 	-0.0038	 0.0141 	41.11	2	0.00100
Li (1971)                	0.8068 	-0.0031	 0.0230 	35.28	2	0.00100
Wáng (1980)              	0.7607 	-0.0029	 0.0196 	38.99	2	0.00100
Zhèngzhāng (2003)        	0.7367 	-0.0041	 0.0167 	44.43	2	0.00100
Starostin (1989)         	0.8293 	-0.0039	 0.0180 	46.24	2	0.00100
Pān (2000)               	0.7212 	-0.0041	 0.0170 	42.68	2	0.00100
Baxter and Sagart (2014) 	0.8623 	-0.0037	 0.0178 	48.62	2	0.00100
Schuessler (2007)        	0.7236 	-0.0031	 0.0172 	42.26	2	0.00100
Karlgren (1954)          	0.5463 	-0.0043	 0.0148 	37.29	3	0.00100
Li (1971)                	0.8234 	-0.0055	 0.0253 	32.78	3	0.00100
Wáng (1980)              	0.7884 	-0.0043	 0.0212 	37.45	3	0.00100
Zhèngzhāng (2003)        	0.7359 	-0.0051	 0.0175 	42.23	3	0.00100
Starostin (1989)         	0.8358 	-0.0050	 0.0190 	44.31	3	0.00100
Pān (2000)               	0.7232 	-0.0051	 0.0174 	41.82	3	0.00100
Baxter and Sagart (2014) 	0.8769 	-0.0047	 0.0181 	48.60	3	0.00100
Schuessler (2007)        	0.7274 	-0.0046	 0.0185 	39.63	3	0.00100
Karlgren (1954)          	0.5901 	-0.0044	 0.0141 	42.25	4	0.00100
Li (1971)                	0.7949 	-0.0051	 0.0234 	34.25	4	0.00100
Wáng (1980)              	0.7654 	-0.0048	 0.0198 	38.93	4	0.00100
Zhèngzhāng (2003)        	0.7199 	-0.0046	 0.0169 	42.85	4	0.00100
Starostin (1989)         	0.8679 	-0.0045	 0.0184 	47.41	4	0.00100
Pān (2000)               	0.7102 	-0.0043	 0.0168 	42.62	4	0.00100
Baxter and Sagart (2014) 	0.8773 	-0.0044	 0.0178 	49.50	4	0.00100
Schuessler (2007)        	0.7048 	-0.0043	 0.0174 	40.70	4	0.00100
Karlgren (1954)          	0.5872 	-0.0039	 0.0148 	39.88	5	0.00100
Li (1971)                	0.8472 	-0.0039	 0.0234 	36.39	5	0.00100
Wáng (1980)              	0.7842 	-0.0038	 0.0203 	38.87	5	0.00100
Zhèngzhāng (2003)        	0.7725 	-0.0039	 0.0167 	46.43	5	0.00100
Starostin (1989)         	0.8472 	-0.0041	 0.0183 	46.49	5	0.00100
Pān (2000)               	0.7441 	-0.0040	 0.0167 	44.71	5	0.00100
Baxter and Sagart (2014) 	0.8907 	-0.0038	 0.0178 	50.21	5	0.00100
Schuessler (2007)        	0.7571 	-0.0044	 0.0175 	43.46	5	0.00100
Karlgren (1954)          	0.5958 	-0.0035	 0.0148 	40.45	6	0.00100
Li (1971)                	0.8421 	-0.0032	 0.0230 	36.67	6	0.00100
Wáng (1980)              	0.7996 	-0.0036	 0.0205 	39.12	6	0.00100
Zhèngzhāng (2003)        	0.7516 	-0.0032	 0.0180 	41.90	6	0.00100
Starostin (1989)         	0.8454 	-0.0034	 0.0184 	46.25	6	0.00100
Pān (2000)               	0.7452 	-0.0033	 0.0181 	41.24	6	0.00100
Baxter and Sagart (2014) 	0.8958 	-0.0028	 0.0178 	50.35	6	0.00100
Schuessler (2007)        	0.6997 	-0.0030	 0.0178 	39.56	6	0.00100
Karlgren (1954)          	0.5956 	-0.0034	 0.0142 	42.08	7	0.00100
Li (1971)                	0.8264 	-0.0040	 0.0220 	37.72	7	0.00100
Wáng (1980)              	0.7705 	-0.0037	 0.0187 	41.30	7	0.00100
Zhèngzhāng (2003)        	0.7657 	-0.0044	 0.0161 	47.82	7	0.00100
Starostin (1989)         	0.8246 	-0.0046	 0.0174 	47.54	7	0.00100
Pān (2000)               	0.7502 	-0.0044	 0.0162 	46.54	7	0.00100
Baxter and Sagart (2014) 	0.8800 	-0.0043	 0.0168 	52.70	7	0.00100
Schuessler (2007)        	0.7155 	-0.0047	 0.0168 	42.86	7	0.00100
Karlgren (1954)          	0.5477 	-0.0032	 0.0150 	36.65	8	0.00100
Li (1971)                	0.8329 	-0.0039	 0.0244 	34.23	8	0.00100
Wáng (1980)              	0.7546 	-0.0042	 0.0209 	36.30	8	0.00100
Zhèngzhāng (2003)        	0.7450 	-0.0033	 0.0178 	42.15	8	0.00100
Starostin (1989)         	0.8352 	-0.0035	 0.0188 	44.64	8	0.00100
Pān (2000)               	0.7310 	-0.0034	 0.0176 	41.79	8	0.00100
Baxter and Sagart (2014) 	0.8957 	-0.0031	 0.0182 	49.45	8	0.00100
Schuessler (2007)        	0.7441 	-0.0035	 0.0183 	40.74	8	0.00100
Karlgren (1954)          	0.6002 	-0.0039	 0.0140 	43.10	9	0.00100
Li (1971)                	0.8212 	-0.0041	 0.0232 	35.61	9	0.00100
Wáng (1980)              	0.7565 	-0.0037	 0.0198 	38.37	9	0.00100
Zhèngzhāng (2003)        	0.7092 	-0.0042	 0.0170 	42.04	9	0.00100
Starostin (1989)         	0.8488 	-0.0034	 0.0179 	47.64	9	0.00100
Pān (2000)               	0.7143 	-0.0042	 0.0168 	42.67	9	0.00100
Baxter and Sagart (2014) 	0.8689 	-0.0041	 0.0171 	51.15	9	0.00100
Schuessler (2007)        	0.6991 	-0.0040	 0.0171 	41.16	9	0.00100
Karlgren (1954)          	0.6290 	-0.0039	 0.0148 	42.75	10	0.00100
Li (1971)                	0.8394 	-0.0042	 0.0229 	36.90	10	0.00100
Wáng (1980)              	0.7945 	-0.0041	 0.0189 	42.34	10	0.00100
Zhèngzhāng (2003)        	0.7353 	-0.0048	 0.0170 	43.55	10	0.00100
Starostin (1989)         	0.8219 	-0.0047	 0.0183 	45.28	10	0.00100
Pān (2000)               	0.7264 	-0.0048	 0.0171 	42.88	10	0.00100
Baxter and Sagart (2014) 	0.8661 	-0.0044	 0.0182 	47.94	10	0.00100
Schuessler (2007)        	0.6989 	-0.0048	 0.0174 	40.53	10	0.00100
Karlgren (1954)          	0.6507 	-0.0043	 0.0161 	45.30	0.00111*
Li (1971)                	0.9151 	-0.0047	 0.0259 	39.45	0.00111*
Wáng (1980)              	0.8584 	-0.0044	 0.0221 	43.49	0.00111*
Zhèngzhāng (2003)        	0.8248 	-0.0047	 0.0190 	48.61	0.00111*
Starostin (1989)         	0.9325 	-0.0047	 0.0203 	51.26	0.00111*
Pān (2000)               	0.8113 	-0.0047	 0.0190 	47.75	0.00111*
Baxter and Sagart (2014) 	0.9758 	-0.0045	 0.0197 	55.31	0.00111*
Schuessler (2007)        	0.7971 	-0.0046	 0.0195 	45.71	0.00111*
